ID_импорт;ID_экспорт;Номер вагона;Страна отправления_импорт;Страна назначения_экспорт;Станция отправления_импорт;Станция назначения_импорт;Станция отправления_экспорт;Станция назначения_экспорт;Дата прибытия_импорт;Дата отправления_экспорт;ves_import;ves_export;Наименование груза;БИН_импорт;БИН_экспорт;Станция_прибытия_импорт;Станция_отправления_экспорт;naimenovanie_plat;комент КТЖ;strana_otpr;strana_nazn;
4219643;4248439;95675088;УЗБЕКИСТАН       ;РОССИЯ           ;САРЫАГАШ ЭК     ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВ.КЗХ    ;2025-06-09;2025-06-09 22:43:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;2,2E+11;2,2E+11;687008;687008;"ТОО ""Global Service Logistics""";за парожни вагоны взыскивается на месте ;860;643;
154196;280831;99447369;УЗБЕКИСТАН       ;РОССИЯ           ;АХАНГАРАН       ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;БУЛАЕВО 1       ;2025-01-09;2025-01-09 23:01:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,3084E+11;1,3084E+11;687008;687008;"АО ""Асты? транс""";за парожни вагоны взыскивается на месте ;860;643;
562117;1271642;52585098;РОССИЯ           ;ТУРКМЕНИСТАН     ;СИБАЙ           ;ЖЕЛЕЗОРУДНАЯ    ;ЖЕЛЕЗОРУДНАЯ    ;БОЛАШАК(ЭКСП    ;2025-01-28;2025-02-08 19:37:00;65600;65772;ЛИГНОСУЛЬФОНАТ_ТЕХ;2,3114E+11;2,3114E+11;683901;683901;"ТОО ""ALMTRANS""";Неизвестно отработан или нет, информацию можно получить только по запросу. (Подозриельный кейс-возможен серый транзит );643;795;
1155945;1229790;53238077;ТАДЖИКИСТАН      ;РОССИЯ           ;САРЫАГАШ ЭК     ;СМИРНОВО        ;СМИРНОВО        ;ПЕТРОПАВ.КЗХ    ;2025-02-02;2025-02-04 10:48:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,7084E+11;1,7084E+11;687902;687902;"АО ""Асты? транс""";за парожни вагоны взыскивается на месте ;762;643;
1287703;1336727;29839990;УЗБЕКИСТАН       ;УЗБЕКИСТАН       ;САРЫАГАШ ЭК     ;АРЫС 1          ;АРЫС 1          ;САРЫАГАШ ЭК     ;2025-02-10;2025-02-15 13:42:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,4034E+11;1,4034E+11;698004;698004;ТОО ЛОГСОФТ;за парожни вагоны взыскивается на месте ;860;860;
1980168;2164790;56501695;КИТАЙ            ;РОССИЯ           ;ДОСТЫК ЭКС      ;ПАВЛОД.ПОРТ     ;ПАВЛОД.ПОРТ     ;КУРКАМЫС (ЭК    ;2025-03-12;2025-03-27 14:25:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,1094E+11;1,1094E+11;696403;696403;"ТОО ""RailTransService""";за парожни вагоны взыскивается на месте ;156;643;
186684;1260514;95124616;ТАДЖИКИСТАН      ;РОССИЯ           ;ЛЕНИНАБАД       ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВ.КЗХ    ;2025-01-09;2025-02-07 15:16:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;2,2044E+11;2,2044E+11;687008;687008;"ТОО ""Global Service Logistics""";за парожни вагоны взыскивается на месте ;762;643;
444327;1258687;59882951;УЗБЕКИСТАН       ;РОССИЯ           ;АХАНГАРАН       ;СУЛЫ            ;СУЛЫ            ;КУРКАМЫС (ЭК    ;2025-01-23;2025-02-07 11:06:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,8114E+11;1,8114E+11;686100;686100;ТОО СОДРУЖЕСТВО КАЗАХСТАН;за парожни вагоны взыскивается на месте ;860;643;
1251889;1319760;29026804;УЗБЕКИСТАН       ;УЗБЕКИСТАН       ;САРЫАГАШ ЭК     ;АРЫС 1          ;АРЫС 1          ;САРЫАГАШ ЭК     ;2025-02-07;2025-02-13 20:08:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,4034E+11;1,4034E+11;698004;698004;ТОО ЛОГСОФТ;за парожни вагоны взыскивается на месте ;860;860;
1382906;1932986;98279011;РОССИЯ           ;АФГАНИСТАН       ;АЛИМБЕТ (ЭКС    ;АЙТЕКЕ II       ;АЙТЕКЕ II       ;БОЛАШАК(ЭКСП    ;2025-02-25;2025-02-28 10:33:00;70000;70000;ПШЕНИЦА;40340003329;40340003329;669105;669105;ТОО ЖАЙЫЛХАНАКТЮБИНСКАЯ ОБЛАСТЬ;;643;4;
